AA	IL ARROSE SAINT-OMER	COURS DU NORD	DEUX VOYELLES POUR UN FLEUVE	COURS EN FLANDRE	IL PASSE À SAINT-OMER	FLEUVE DU NORD
AAR	RIVIÈRE OU MASSIF SUISSE	RIVIÈRE DE SUISSE
AB	UN PLUS À L'EXAMEN	NOTATION	MENTION AU BAC	MENTION MOYENNE	MENTION À L'EXAMEN
ABAISSE	DESCENDU D'UN NIVEAU
ABASOURDIES	AHURIES
ABAT	DÉMOLIT	COUPE UN ARBRE
ABATTENT	FONT TOMBER
ABCES	ON LE LAISSE CREVER SANS REGRET
ABEES	ARRIVÉES D'EAU DES MOULINS
ABEL	NE FUT PAS ÉPARGNÉ PAR CAÏN	FILS D'ADAM	BERGER BIBLIQUE
ABER	DÉCOUPE DES CÔTES BRETONNES	ESTUAIRE BRETON
ABERRANT	DIFFICILE À CONCEVOIR
ABERRATION	ABSURDITÉ
ABERS	ESTUAIRES BRETONS
ABETI	ABRUTI
ABOLI	ABROGÉ
ABONNEE	FEMME FIDÈLE
ABORDER	ENTRER EN COLLISION
ABORIGENE	PREMIER AUSTRALIEN
ABORIGENES	AUTOCHTONES
ABRASER	FROTTER AU PAPIER D'ÉMERI
ABREGE	ÉCOURTE
ABREGER	ALLER AU PLUS COURT
ABRI	BON REFUGE	LIEU SÛR
ABRICOTIERS	ARBRES FRUITIERS
ABS	ASSISTANCE AU FREINAGE	CELA SÉCURISE LE FREINAGE
ABSENT	IL EST DANS SON TORT
ABSOUDRE	PARDONNER
ABUS	USAGE IMMODÉRÉ
ABUSA	BERNA
ABUSE	EXAGÈRE
AC	ACTINIUM	EN FAC  MAIS AU CENTRE	ACTINIUM AU LABO	ACTINIUM ABRÉGÉ	L'ACTINIUM	ACTINIUM POUR LE CHIMISTE	ACTINIUM SYMBOLISÉ
ACACIA	ARBRE À FLEURS JAUNES
ACADEMICIENNE	FEMME ÉMINENTE
ACADEMICIENNES	FEMMES ÉMINENTES
ACADEMIE	ÉCOLE SUPÉRIEURE
ACARIEN	PARASITE AU LOGIS
ACCABLANT	QUI ATTEINT LE MORAL
ACCAPARER	MONOPOLISER
ACCEDE	ARRIVE À PÉNÉTRER DANS LES LIEUX
ACCEDER	DONNER SON CONSENTEMENT
ACCENT	GRAVE POUR LA MÈRE
ACCENTS	SIGNES
ACCEPTEES	ADMISES
ACCESSION	AVÈNEMENT
ACCLAME	ACCUEILLI À GRANDS CRIS
ACCLAMER	SALUER AVEC CHALEUR
ACCOLE	JUXTAPOSÉ
ACCOLER	CRÉER UN REGROUPEMENT
ACCOTEMENTS	BAS-CÔTÉS
ACCOUPLER	FAIRE LA PAIRE
ACCRO	DÉPENDANT
ACCROCHER	FIXER AU MUR
ACCRU	AUGMENTÉ
ACCRUE	AMPLIFIÉE
ACE	COUP GAGNANT AU TENNIS	COUP AU TENNIS	BON SERVICE AU TENNIS	SERVICE CANON AU TENNIS	IL EST BIEN SERVI AU TENNIS	BALLE HORS DE PORTÉE	SERVICE EFFICACE	BON COUP EN COURT	IL NE RISQUE PAS D'ÊTRE RENVOYÉ	IL PREND L'ADVERSAIRE DE VITESSE	BALLE BIEN PLACÉE	IL EST BIEN SERVI SUR LE COURT	BEAU SERVICE AU TENNIS	ARME DE TSONGA	SERVICE AU TENNIS
ACERBE	D'UN TON BLESSANT
ACERE	AIGUISÉ
ACERER	RENDRE COUPANT
ACERES	BIEN AIGUISÉS
ACEROLA	CERISE DES ANTILLES
ACES	SERVICES GAGNANTS AU TENNIS	SERVICES GAGNANTS	BELLES BALLES
ACIDE	C'EST PAS BASIQUE
ACIDIFIER	RENDRE AIGRE
ACIDITE	ÂCRETÉ
ACIDULEE	AIGRELETTE
ACIERE	RECOUVERT D'UN ALLIAGE
ACIERIE	USINE À MÉTAUX
ACNE	PROBLÈME CUTANÉ	LÉSION EN FACE	MARQUE DE PUBERTÉ
ACOMPTE	FRACTION DE CE QUE L'ON DOIT
ACONS	BATEAUX DE CHARGEMENT
ACONTRARIO	INVERSEMENT
ACOTE	CE QUI EST ACCESSOIRE
ACOUP	SACCADE
ACQUEREUR	FUTUR PROPRIÉTAIRE
ACRA	BOULETTE DE MORUE AUX ANTILLES	BEIGNET	BOULETTE DE MORUE	BOULETTE ÉPICÉE
ACRE	QUI PREND À LA GORGE
ACROBATES	ARTISTES DE CIRQUE
ACROPOLE	ELLE DOMINE ATHÈNES
ACRU	RÉGIME SANS SELLE
ACTE	PAPIER NOTARIÉ	MINUTE CHEZ LE NOTAIRE
ACTER	PRENDRE NOTE
ACTES	TRAVAUX D'ÉTUDE
ACTEUR	HOMME DE SPECTACLE
ACTIF	DYNAMIQUE
ACTIVE	STIMULÉ
ACTUALISER	METTRE À JOUR
ACTUALITES	NOUVELLES
ACTUEL	CONTEMPORAIN
ACTUELLES	CONTEMPORAINES
ACUITE	DEGRÉ DE SENSIBILITÉ
ACUITES	INTENSITÉS
AD	DEVANT LE HO  PAS DEVANT LE HIC	PRÉCÈDE PATRES	DEVANT PATRES	PRÉCÈDE LIBITUM	DEVANT LIBITUM	PRÉCÈDE LIBITUM OU PATRES	AVANT PATRES
ADAGE	DICTON POPULAIRE
ADAM	COMPAGNON D'ÈVE
ADENT	ENTAILLE OBLIQUE DE L'ÉBÉNISTE
ADEPTE	DISCIPLE
ADEPTES	DISCIPLES
ADEQUATES	APPROPRIÉES
ADHERE	SE RALLIE À UNE CAUSE
ADIEU	DERNIER MOT AVANT LE DÉPART DÉFINITIF
ADIEUX	DERNIERS SALUTS
ADIPEUSES	GRASSES
ADMETS	ACCEPTES
ADMINISTREE	GÉRÉE
ADMIRATION	ÉMERVEILLEMENT
ADMIRATRICE	GROUPIE
ADMIRE	APPRÉCIE
ADMIREE	CONTEMPLÉE
ADMIREES	REGARDÉES AVEC ENVIE
ADMISSIBILITE	GAGE DE RÉUSSITE
ADMIT	RECONNUT
ADN	IL EST DANS NOS GÈNES	DANS LES GÈNES	ACIDE TRÈS ÉTUDIÉ EN GÉNÉTIQUE	ACIDE EN GÉNÉTIQUE	INFORMATEUR GÉNÉTIQUE
ADO	JOUVENCEAU	ENTRE L'ENFANT ET L'ADULTE	CE N'EST PLUS UN ENFANT	JEUNE ENCORE	UN JEUNE QUI PEUT CONNAÎTRE LA CRISE	IL EST AU PRINTEMPS DE SA VIE	IL VIT À L'ÂGE INGRAT	TEEN-AGER	JEUNE FAMILIER
ADORA	AIMA À LA FOLIE
ADORANT	AIMANT À LA FOLIE
ADORATION	ÉLAN AMOUREUX
ADORE	AIME BEAUCOUP
ADOREE	AIMÉE AVEC PASSION
ADORER	AIMER PLUS QUE TOUT
ADORERA	IDOLÂTRERA
ADOS	ILS SONT ENCORE JEUNES
ADOUCIE	MOINS AMÈRE
ADRET	VERSANT BIEN AU CHAUD
ADRETS	CÔTÉS AU SOLEIL
ADULA	CHÉRIT
ADULE	COMBLÉ DE LOUANGES
ADULTE	DEVENU MAJEUR
ADVERSES	OPPOSÉS
AEDE	POÈTE À LA LYRE	CHANTEUR ANTIQUE	CHANTEUR GREC COMME HOMÈRE	ARTISTE GREC	S'ACCOMPAGNAIT DE LA LYRE	POÈTE GREC	BARDE GREC
AEDES	ANTIQUES POÈTES GRECS
AERAGE	IL VENTILE LA GALERIE
AERIEN	À L'AIR LIBRE
AERIENNE	QUI EST À L'AIR LIBRE
AERIENNES	TELLES DES FORCES DANS L'ARMÉE
AERO	PRÉFIXE POUR L'AIR	PRÉFIXE TOUT LÉGER	PRÉFIXE AÉRIEN	PRÉFIXE QUI DONNE DES AILES	ÎLE DU DANEMARK
AEROBIC	GYM TONIQUE
AEROCLUB	ABRI DE PLANEURS
AERODROME	LIEU D'ATTERRISSAGE
AEROGARE	TERMINAL
AERONEF	OBJET VOLANT
AEROPORT	ON Y PREND L'AVION
AEROPORTE	AMENÉ DU CIEL
AEROSOL	PULVÉRISATEUR
AEROSOLS	BOMBES POUR PRODUITS MÉNAGERS
AEROSTIER	IL DIRIGE LE BALLON
AEROSTIERS	ILS DIRIGENT LE BALLON
AFFAMEE	QUI A LA FRINGALE
AFFRETA	LOUA UN NAVIRE
AFFUTER	AIGUISER
AFIN	POUR	MARQUE L'INTENTION
